,order_time,order_price,order_type,fill_time,fill_price,direction,size,fee,instrument,id,order_id,broker
2019-05-27 00:00:00+00:00,2019-05-24 00:00:00+00:00,11844.099609375,market,2019-05-27 00:00:00+00:00,11855.5,1,0.06,0.0,^NSEI,35,52,virtual
2019-07-19 00:00:00+00:00,2019-05-27 00:00:00+00:00,11456.8637,market,2019-07-19 00:00:00+00:00,11456.8637,-1,0.06,0.0,^NSEI,36,53,virtual
2019-09-18 00:00:00+00:00,2019-09-17 00:00:00+00:00,10817.599609375,market,2019-09-18 00:00:00+00:00,10872.7998,-1,0.08,0.0,^NSEI,37,55,virtual
2019-09-20 00:00:00+00:00,2019-09-18 00:00:00+00:00,11083.73507,market,2019-09-20 00:00:00+00:00,11083.73507,1,0.08,0.0,^NSEI,38,56,virtual
2019-09-24 00:00:00+00:00,2019-09-23 00:00:00+00:00,11600.2001953125,market,2019-09-24 00:00:00+00:00,11590.7002,1,0.06,0.0,^NSEI,39,58,virtual
2019-10-04 00:00:00+00:00,2019-09-24 00:00:00+00:00,11213.91448,market,2019-10-04 00:00:00+00:00,11213.91448,-1,0.06,0.0,^NSEI,40,59,virtual
2020-05-21 00:00:00+00:00,2020-05-20 00:00:00+00:00,9066.5498046875,market,2020-05-21 00:00:00+00:00,9079.4502,-1,0.04,0.0,^NSEI,41,61,virtual
2020-05-29 00:00:00+00:00,2020-05-21 00:00:00+00:00,9592.67132,market,2020-05-29 00:00:00+00:00,9592.67132,1,0.04,0.0,^NSEI,42,62,virtual
2020-06-01 00:00:00+00:00,2020-05-29 00:00:00+00:00,9580.2998046875,market,2020-06-01 00:00:00+00:00,9726.84961,1,0.05,0.0,^NSEI,43,64,virtual
2020-06-02 00:00:00+00:00,2020-06-01 00:00:00+00:00,9826.150390625,market,2020-06-02 00:00:00+00:00,9880.84961,1,0.04,0.0,^NSEI,44,67,virtual
2020-06-03 00:00:00+00:00,2020-06-01 00:00:00+00:00,9726.84961,limit,2020-06-03 00:00:00+00:00,10036.67104,-1,0.05,0.0,^NSEI,45,66,virtual
2020-06-08 00:00:00+00:00,2020-06-02 00:00:00+00:00,9880.84961,limit,2020-06-08 00:00:00+00:00,10301.28585,-1,0.039999999999999994,0.0,^NSEI,46,69,virtual
2020-09-23 00:00:00+00:00,2020-09-22 00:00:00+00:00,11153.650390625,market,2020-09-23 00:00:00+00:00,11258.75,-1,0.07,0.0,^NSEI,47,70,virtual
2020-09-24 00:00:00+00:00,2020-09-23 00:00:00+00:00,11258.75,limit,2020-09-24 00:00:00+00:00,10849.34347,1,0.07,0.0,^NSEI,48,72,virtual
2020-10-08 00:00:00+00:00,2020-10-07 00:00:00+00:00,11738.849609375,market,2020-10-08 00:00:00+00:00,11835.40039,1,0.06,0.0,^NSEI,49,73,virtual
2020-11-05 00:00:00+00:00,2020-10-08 00:00:00+00:00,11835.40039,limit,2020-11-05 00:00:00+00:00,12124.47084,-1,0.06,0.0,^NSEI,50,75,virtual
2021-03-17 00:00:00+00:00,2021-03-16 00:00:00+00:00,14910.4501953125,market,2021-03-17 00:00:00+00:00,14946.5498,-1,0.04,0.0,^NSEI,51,76,virtual
2021-03-25 00:00:00+00:00,2021-03-17 00:00:00+00:00,14946.5498,limit,2021-03-25 00:00:00+00:00,14337.17188,1,0.04,0.0,^NSEI,52,78,virtual
2021-05-07 00:00:00+00:00,2021-05-06 00:00:00+00:00,14724.7998046875,market,2021-05-07 00:00:00+00:00,14816.84961,1,0.05,0.0,^NSEI,53,79,virtual
2021-05-24 00:00:00+00:00,2021-05-07 00:00:00+00:00,14816.84961,limit,2021-05-24 00:00:00+00:00,15196.00711,-1,0.05,0.0,^NSEI,54,81,virtual
2021-11-15 00:00:00+00:00,2021-11-12 00:00:00+00:00,18102.75,market,2021-11-15 00:00:00+00:00,18140.94922,1,0.05,0.0,^NSEI,55,82,virtual
2021-11-16 00:00:00+00:00,2021-11-15 00:00:00+00:00,18109.44921875,market,2021-11-16 00:00:00+00:00,18127.05078,1,0.05,0.0,^NSEI,56,85,virtual
2021-11-22 00:00:00+00:00,2021-11-15 00:00:00+00:00,17650.66406,market,2021-11-22 00:00:00+00:00,17650.66406,-1,0.05,0.0,^NSEI,57,83,virtual
2021-11-22 00:00:00+00:00,2021-11-16 00:00:00+00:00,17676.51339,market,2021-11-22 00:00:00+00:00,17676.51339,-1,0.05,0.0,^NSEI,58,86,virtual
2022-01-04 00:00:00+00:00,2022-01-03 00:00:00+00:00,17625.69921875,market,2022-01-04 00:00:00+00:00,17681.40039,1,0.05,0.0,^NSEI,59,88,virtual
2022-01-12 00:00:00+00:00,2022-01-04 00:00:00+00:00,17681.40039,limit,2022-01-12 00:00:00+00:00,18104.40737,-1,0.05,0.0,^NSEI,60,90,virtual
2022-02-01 00:00:00+00:00,2022-01-31 00:00:00+00:00,17339.849609375,market,2022-02-01 00:00:00+00:00,17529.44922,-1,0.04,0.0,^NSEI,61,91,virtual
2022-02-24 00:00:00+00:00,2022-02-01 00:00:00+00:00,17529.44922,limit,2022-02-24 00:00:00+00:00,16791.18583,1,0.04,0.0,^NSEI,62,93,virtual
2022-03-24 00:00:00+00:00,2022-03-23 00:00:00+00:00,17245.650390625,market,2022-03-24 00:00:00+00:00,17094.94922,1,0.03,0.0,^NSEI,63,94,virtual
2022-04-04 00:00:00+00:00,2022-03-24 00:00:00+00:00,17094.94922,limit,2022-04-04 00:00:00+00:00,17934.3863,-1,0.03,0.0,^NSEI,64,96,virtual
